Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Lorenzo De Silvestri,36.0,Italy,Defender,Bologna,Serie A,18,1,0
Thibault De Smet,26.0,Belgium,Defender,Reims,Ligue 1,5,0,0
Koni De Winter,22.0,Belgium,Defender,Genoa,Serie A,25,3,0
Amar Dedić,21.0,Bosnia and Herzegovina,Defender,Marseille,Ligue 1,10,0,1
Alessandro Deiola,28.0,Italy,Midfielder,Cagliari,Serie A,29,2,1
Romain Del Castillo,28.0,France,Forward,Brest,Ligue 1,26,6,4
Enrico Del Prato,24.0,Italy,Defender,Parma,Serie A,34,4,0
Thomas Delaine,32.0,France,Defender,Strasbourg,Ligue 1,2,0,0
Liam Delap,21.0,England,Forward,Ipswich Town,Premier League,37,12,2
Fisayo Dele-Bashiru,23.0,Nigeria,"Midfielder, Forward",Lazio,Serie A,20,3,1
Andy Delort,32.0,Algeria,Forward,Montpellier,Ligue 1,9,0,0
Olivier Deman,24.0,Belgium,Defender,Werder Bremen,Bundesliga,9,0,0
Ali Dembélé,20.0,France,Defender,Torino,Serie A,15,1,0
Ousmane Dembélé,27.0,France,Forward,Paris S-G,Ligue 1,29,21,6
Ermedin Demirović,26.0,Bosnia and Herzegovina,Forward,Stuttgart,Bundesliga,34,15,1
Sepp van den Berg,22.0,Netherlands,Defender,Brentford,Premier League,31,0,0
Rémy Descamps,28.0,France,Goalkeeper,Lyon,Ligue 1,1,0,0
Arthur Desmas,30.0,France,Goalkeeper,Le Havre,Ligue 1,18,0,0
