Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Iago Aspas,36.0,es ESP,"Forward, Midfielder",Celta Vigo,es La Liga,30,10,5
Yaser Asprilla,20.0,co COL,"Forward, Midfielder",Girona,es La Liga,27,3,1
Lorenz Assignon,24.0,tg TOG,"Defender, Midfielder",Rennes,fr Ligue 1,32,3,4
Dehmaine Assoumani,19.0,fr FRA,"Midfielder, Forward",Nantes,fr Ligue 1,12,0,0
Valentin Atangana Edoa,18.0,fr FRA,Midfielder,Reims,fr Ligue 1,34,1,0
Arthur Atta,21.0,fr FRA,"Midfielder, Forward",Udinese,it Serie A,27,0,1
Noah Atubolu,22.0,de GER,Goalkeeper,Freiburg,de Bundesliga,26,0,0
Emil Audero,27.0,id IDN,Goalkeeper,Como,it Serie A,8,0,0
Tommaso Augello,29.0,it ITA,Defender,Cagliari,it Serie A,38,0,7
Carlos Augusto,25.0,br BRA,Defender,Inter,it Serie A,29,3,2
Yann Aurel Bisseck,23.0,de GER,Defender,Inter,it Serie A,27,3,2
Brandon Austin,25.0,eng ENG,Goalkeeper,Tottenham,eng Premier League,1,0,0
Ezequiel Ávila,30.0,ar ARG,Forward,Betis,es La Liga,19,2,0
Taiwo Awoniyi,26.0,ng NGA,Forward,Nott'ham Forest,eng Premier League,26,1,0
Yasin Ayari,20.0,se SWE,Midfielder,Brighton,eng Premier League,34,2,1
Florian Ayé,27.0,fr FRA,Forward,Auxerre,fr Ligue 1,26,2,0
André Ayew,34.0,gh GHA,Forward,Le Havre,fr Ligue 1,27,4,1
Jordan Ayew,32.0,gh GHA,"Forward, Midfielder",Leicester City,eng Premier League,30,5,0
Neil El Aynaoui,23.0,fr FRA,Midfielder,Lens,fr Ligue 1,24,8,1
Ayman Azhil,23.0,ma MAR,Midfielder,Dortmund,de Bundesliga,1,0,0
Adam Aznou,18.0,ma MAR,Defender,Bayern Munich,de Bundesliga,2,0,0
César Azpilicueta,34.0,es ESP,Defender,Atlético Madrid,es La Liga,14,1,0
Paulo Azzi,30.0,br BRA,Defender,Cagliari,it Serie A,6,0,0
Oussama El Azzouzi,23.0,ma MAR,Midfielder,Bologna,it Serie A,2,0,0
Papa Ba,19.0,es ESP,Midfielder,Girona,es La Liga,1,0,0
Shavy Babicka,24.0,ga GAB,"Midfielder, Forward",Toulouse,fr Ligue 1,30,4,2
Jacopo Bacci,19.0,it ITA,Midfielder,Empoli,it Serie A,3,0,0
Aliou Badara Baldé,21.0,gn GUI,"Midfielder, Forward",Bochum,de Bundesliga,5,0,0
Loïc Bade,24.0,fr FRA,Defender,Sevilla,es La Liga,32,1,1
Milan Badelj,35.0,hr CRO,Midfielder,Genoa,it Serie A,23,1,0
Benoît Badiashile,23.0,fr FRA,Defender,Chelsea,eng Premier League,5,0,0
Alex Baena,23.0,es ESP,"Midfielder, Forward",Villarreal,es La Liga,32,7,9
Juma Bah,18.0,sl SLE,Defender,Lens,fr Ligue 1,10,0,0
Leon Bailey,26.0,jm JAM,"Forward, Midfielder",Aston Villa,eng Premier League,24,1,2
Eric Bailly,30.0,ci CIV,Defender,Villarreal,es La Liga,12,0,0
Theo Bair,24.0,ca CAN,Forward,Auxerre,fr Ligue 1,29,2,1
Stefan Bajcetic,19.0,es ESP,"Midfielder, Defender",Las Palmas,es La Liga,14,1,0
Cédric Bakambu,33.0,cd COD,Forward,Betis,es La Liga,25,2,2
Mitchel Bakker,24.0,nl NED,"Forward, Defender",Lille,fr Ligue 1,24,3,2
Darryl Bakola,16.0,fr FRA,"Defender, Midfielder",Marseille,fr Ligue 1,2,0,0
Ridle Baku,26.0,de GER,"Defender, Midfielder",RB Leipzig,de Bundesliga,19,2,3
Dilane Bakwa,21.0,fr FRA,"Midfielder, Defender",Strasbourg,fr Ligue 1,30,6,8
Tommaso Baldanzi,21.0,it ITA,"Midfielder, Forward",Roma,it Serie A,31,1,1
Alejandro Balde,20.0,es ESP,Defender,Barcelona,es La Liga,32,0,4
Keita Baldé,29.0,sn SEN,Forward,Monza,it Serie A,11,2,0
Carlos Baleba,20.0,cm CMR,Midfielder,Brighton,eng Premier League,34,3,1
Leonardo Balerdi,25.0,ar ARG,Defender,Marseille,fr Ligue 1,27,0,0
Iván Balliu,32.0,al ALB,Defender,Rayo Vallecano,es La Liga,25,0,0
Fodé Ballo-Touré,27.0,sn SEN,"Defender, Midfielder",Le Havre,fr Ligue 1,10,0,0
Botond Balogh,22.0,hu HUN,Defender,Parma,it Serie A,29,0,1
Folarin Balogun,23.0,us USA,Forward,Monaco,fr Ligue 1,13,4,0
