Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Paulo Azzi,30.0,br BRA,DF,Cagliari,it Serie A,6,0,0
Oussama El Azzouzi,23.0,ma MAR,MF,Bologna,it Serie A,2,0,0
Papa Ba,19.0,es ESP,MF,Girona,es La Liga,1,0,0
Shavy Babicka,24.0,ga GAB,"MF,FW",Toulouse,fr Ligue 1,30,4,2
Jacopo Bacci,19.0,it ITA,MF,Empoli,it Serie A,3,0,0
Aliou Badara Baldé,21.0,gn GUI,"MF,FW",Bochum,de Bundesliga,5,0,0
Loïc Bade,24.0,fr FRA,DF,Sevilla,es La Liga,32,1,1
Milan Badelj,35.0,hr CRO,MF,Genoa,it Serie A,23,1,0
Benoît Badiashile,23.0,fr FRA,DF,Chelsea,eng Premier League,5,0,0
Alex Baena,23.0,es ESP,"MF,FW",Villarreal,es La Liga,32,7,9
Juma Bah,18.0,sl SLE,DF,Valladolid,es La Liga,12,0,0
Juma Bah,18.0,sl SLE,DF,Lens,fr Ligue 1,10,0,0
Leon Bailey,26.0,jm JAM,"FW,MF",Aston Villa,eng Premier League,24,1,2
Eric Bailly,30.0,ci CIV,DF,Villarreal,es La Liga,12,0,0
Theo Bair,24.0,ca CAN,FW,Auxerre,fr Ligue 1,29,2,1
Stefan Bajcetic,19.0,es ESP,"MF,DF",Las Palmas,es La Liga,14,1,0
Cédric Bakambu,33.0,cd COD,FW,Betis,es La Liga,25,2,2
Mitchel Bakker,24.0,nl NED,MF,Atalanta,it Serie A,1,0,0
Mitchel Bakker,24.0,nl NED,"FW,DF",Lille,fr Ligue 1,24,3,2
Darryl Bakola,16.0,fr FRA,"DF,MF",Marseille,fr Ligue 1,2,0,0
Ridle Baku,26.0,de GER,"FW,MF",Wolfsburg,de Bundesliga,15,2,1
Ridle Baku,26.0,de GER,"DF,MF",RB Leipzig,de Bundesliga,19,2,3
Dilane Bakwa,21.0,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,30,6,8
Tommaso Baldanzi,21.0,it ITA,"MF,FW",Roma,it Serie A,31,1,1
Alejandro Balde,20.0,es ESP,DF,Barcelona,es La Liga,32,0,4
Keita Baldé,29.0,sn SEN,FW,Monza,it Serie A,11,2,0
Carlos Baleba,20.0,cm CMR,MF,Brighton,eng Premier League,34,3,1
Leonardo Balerdi,25.0,ar ARG,DF,Marseille,fr Ligue 1,27,0,0
Iván Balliu,32.0,al ALB,DF,Rayo Vallecano,es La Liga,25,0,0
Fodé Ballo-Touré,27.0,sn SEN,"DF,MF",Le Havre,fr Ligue 1,10,0,0
Botond Balogh,22.0,hu HUN,DF,Parma,it Serie A,29,0,1
Folarin Balogun,23.0,us USA,FW,Monaco,fr Ligue 1,13,4,0
Mario Balotelli,33.0,it ITA,"FW,MF",Genoa,it Serie A,6,0,0
Abdoulaye Bamba,34.0,ci CIV,DF,Angers,fr Ligue 1,19,0,0
Jonathan Bamba,28.0,ci CIV,"FW,MF",Celta Vigo,es La Liga,12,0,1
Mohamed Bamba,19.0,ci CIV,MF,Reims,fr Ligue 1,2,0,0
Samuel Bamba,20.0,de GER,"FW,MF",Bochum,de Bundesliga,5,0,0
Lameck Banda,23.0,zm ZAM,"FW,MF",Lecce,it Serie A,15,0,1
Daniel Bandeira,24.0,pt POR,MF,Hellas Verona,it Serie A,11,0,0
Mattia Bani,30.0,it ITA,DF,Genoa,it Serie A,20,0,0
Noahkai Banks,17.0,us USA,DF,Augsburg,de Bundesliga,8,0,0
Scott Banks,22.0,sct SCO,"FW,MF",St. Pauli,de Bundesliga,12,0,0
Adrian Baquerin,17.0,es ESP,FW,Valladolid,es La Liga,5,0,0
Antonín Barák,29.0,cz CZE,MF,Fiorentina,it Serie A,1,0,0
Federico Barba,30.0,it ITA,DF,Como,it Serie A,7,0,0
Valentín Barco,20.0,ar ARG,"DF,FW",Sevilla,es La Liga,7,0,0
Valentín Barco,20.0,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,14,0,2
Bradley Barcola,21.0,fr FRA,FW,Paris S-G,fr Ligue 1,34,14,10
Melvin Bard,23.0,fr FRA,"DF,MF",Nice,fr Ligue 1,24,2,1
Nicolò Barella,27.0,it ITA,MF,Inter,it Serie A,33,3,6
Gabriel Bares,23.0,ch SUI,"MF,DF",Montpellier,fr Ligue 1,6,0,0
